"","TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"1","Abietaceae","Pinales",NA
"2","Abolbodaceae","Poales",NA
"3","Abrophyllaceae","Asterales",NA
"4","Acaciaceae","Fabales",NA
"5","Acalyphaceae","Malpighiales",NA
"6","Acanthaceae","Lamiales",378
"7","Acanthochlamydaceae","Pandanales",NA
"8","Acarnaceae","Asterales",NA
"9","Aceraceae","Sapindales",NA
"10","Achariaceae","Malpighiales",204
"11","Achatocarpaceae","Caryophyllales",297
"12","Achradaceae","Ericales",NA
"13","Achyranthaceae","Caryophyllales",NA
"14","Acmopylaceae","Pinales",NA
"15","Aconitaceae","Ranunculales",NA
"16","Acoraceae","Acorales",29
"17","Acristaceae","Arecales",NA
"18","Actaeaceae","Ranunculales",NA
"19","Actinidiaceae","Ericales",340
"20","Actinotaceae","Apiales",NA
"21","Adenogrammaceae","Caryophyllales",NA
"22","Adoxaceae","Dipsacales",405
"23","Aegialitidaceae","Caryophyllales",NA
"24","Aegicerataceae","Ericales",NA
"25","Aegilopaceae","Poales",NA
"26","Aeginetiaceae","Lamiales",NA
"27","Aegiphilaceae","Lamiales",NA
"28","Aesculaceae","Sapindales",NA
"29","Aextoxicaceae","Berberidopsidales",274
"30","Agapanthaceae","Asparagales",NA
"31","Agavaceae","Asparagales",NA
"32","Agdestidaceae","Caryophyllales",NA
"33","Agialidaceae","Zygophyllales",NA
"34","Agrimoniaceae","Rosales",NA
"35","Agrostidaceae","Poales",NA
"36","Ailanthaceae","Sapindales",NA
"37","Aitoniaceae","Sapindales",NA
"38","Aizoaceae","Caryophyllales",304
"39","Ajugaceae","Lamiales",NA
"40","Akaniaceae","Brassicales",257
"41","Alangiaceae","Cornales",NA
"42","Alchemillaceae","Rosales",NA
"43","Aldrovandaceae","Caryophyllales",NA
"44","Alismataceae","Alismatales",32
"45","Alliaceae","Asparagales",NA
"46","Allioniaceae","Caryophyllales",NA
"47","Allophylaceae","Sapindales",NA
"48","Aloaceae","Asparagales",NA
"49","Alopecuraceae","Poales",NA
"50","Alpiniaceae","Zingiberales",NA
"51","Alseuosmiaceae","Asterales",394
"52","Alsinaceae","Caryophyllales",NA
"53","Alsodeiaceae","Malpighiales",NA
"54","Alstroemeriaceae","Liliales",55
"55","Altingiaceae","Saxifragales",127
"56","Alzateaceae","Myrtales",225
"57","Amaranthaceae","Caryophyllales",298
