"","KEW_FAMILY_EXT","QUERY","KEW_GENUS_EXT"
"1","Acanthaceae","Dianthera","Justicia"
"2","Acanthaceae","Disperma","Duoperma"
"3","Acanthaceae","Endopogon","Strobilanthes"
"4","Acanthaceae","Gastranthus","Stenostephanus"
"5","Acanthaceae","Gerardia","Stenandrium"
"6","Acanthaceae","Petalanthera","Justicia"
"7","Acanthaceae","Boutonia","Boutonia"
"8","Acanthaceae","Henrya","Henrya"
"9","Acanthaceae","Meyenia","Meyenia"
"10","Acanthaceae","Schaueria","Schaueria"
"11","Acanthaceae","Tetramerium","Tetramerium"
"12","Acanthaceae","Trichocalyx","Trichocalyx"
"13","Acanthaceae","Acanthodium","Blepharis"
"14","Acanthaceae","Acanthopale","Acanthopale"
"15","Acanthaceae","Acanthopsis","Acanthopsis"
"16","Acanthaceae","Acanthostelma","Acanthostelma"
"17","Acanthaceae","Acanthura","Acanthura"
"18","Acanthaceae","Acanthus","Acanthus"
"19","Acanthaceae","Acelica","Justicia"
"20","Acanthaceae","Achyrocalyx","Achyrocalyx"
"21","Acanthaceae","Adelaster","Fittonia"
"22","Acanthaceae","Adeloda","Adeloda"
"23","Acanthaceae","Adenacanthus","Strobilanthes"
"24","Acanthaceae","Adenostachya","Strobilanthes"
"25","Acanthaceae","Adhatoda","Justicia"
"26","Acanthaceae","Aechmanthera","Aechmanthera"
"27","Acanthaceae","Aetheilema","Aetheilema"
"28","Acanthaceae","Afrofittonia","Afrofittonia"
"29","Acanthaceae","Afromendoncia","Mendoncia"
"30","Acanthaceae","Alvarezia","Alvarezia"
"31","Acanthaceae","Amathea","Aphelandra"
"32","Acanthaceae","Ambongia","Ambongia"
"33","Acanthaceae","Amphiestes","Hypoestes"
"34","Acanthaceae","Amphiscopia","Justicia"
"35","Acanthaceae","Ancalanthus","Angkalanthus"
"36","Acanthaceae","Ancistranthus","Ancistranthus"
"37","Acanthaceae","Ancylacanthus","Ptyssiglottis"
"38","Acanthaceae","Androcentrum","Bravaisia"
"39","Acanthaceae","Andrographis","Andrographis"
"40","Acanthaceae","Angkalanthus","Angkalanthus"
"41","Acanthaceae","Anisacanthus","Anisacanthus"
"42","Acanthaceae","Anisosepalum","Anisosepalum"
"43","Acanthaceae","Anisostachya","Justicia"
"44","Acanthaceae","Anisotes","Anisotes"
"45","Acanthaceae","Anomacanthus","Anomacanthus"
"46","Acanthaceae","Anthacanthus","Anthacanthus"
"47","Acanthaceae","Antheliacanthus","Pseuderanthemum"
"48","Acanthaceae","Apassalus","Apassalus"
"49","Acanthaceae","Aphanandrium","Neriacanthus"
"50","Acanthaceae","Aphanosperma","Aphanosperma"
"51","Acanthaceae","Aphelandra","Aphelandra"
"52","Acanthaceae","Aphelandrella","Aphelandrella"
"53","Acanthaceae","Aphragmia","Ruellia"
"54","Acanthaceae","Apolepsis","Lepidagathis"
"55","Acanthaceae","Aporuellia","Aporuellia"
"56","Acanthaceae","Arrhostoxylum","Ruellia"
"57","Acanthaceae","Ascotheca","Ascotheca"
"58","Acanthaceae","Asteracantha","Hygrophila"
"59","Acanthaceae","Asystasia","Asystasia"
"60","Acanthaceae","Asystasiella","Asystasiella"
"61","Acanthaceae","Athlianthus","Athlianthus"
"62","Acanthaceae","Aulojusticia","Justicia"
"63","Acanthaceae","Averia","Justicia"
"64","Acanthaceae","Aystasia","Aystasia"
"65","Acanthaceae","Ballochia","Ballochia"
"66","Acanthaceae","Banjolea","Banjolea"
"67","Acanthaceae","Baphicacanthus","Strobilanthes"
"68","Acanthaceae","Barleria","Barleria"
"69","Acanthaceae","Barleriacanthus","Barleria"
"70","Acanthaceae","Barlerianthus","Barleria"
"71","Acanthaceae","Barleriola","Barleriola"
"72","Acanthaceae","Barleriosiphon","Barleria"
"73","Acanthaceae","Barlerites","Barleria"
"74","Acanthaceae","Beloperone","Justicia"
