GENUS,TPL_FAMILY,TPL_STATUS,TPL_URL
Aa,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Aa/
Aaronsohnia,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Aaronsohnia/
Abacopteris,Thelypteridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Thelypteridaceae/Abacopteris/
Abacosa,Fabaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Abacosa/
Abarema,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Abarema/
Abasoloa,Asteraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Abasoloa/
Abatia,Salicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Salicaceae/Abatia/
Abbevillea,Myrtaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Abbevillea/
Abdominea,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Abdominea/
Abelia,Caprifoliaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Caprifoliaceae/Abelia/
Abelicea,Ulmaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Ulmaceae/Abelicea/
Abeliophyllum,Oleaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Oleaceae/Abeliophyllum/
Abelmoschus,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Abelmoschus/
Aberemoa,Annonaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Annonaceae/Aberemoa/
Aberia,Salicaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Salicaceae/Aberia/
Abies,Pinaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/G/Pinaceae/Abies/
Abietinella,Thuidiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Thuidiaceae/Abietinella/
Abildgaardia,Cyperaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Abildgaardia/
Abobra,Cucurbitaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Abobra/
Abolboda,Xyridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Xyridaceae/Abolboda/
Aboriella,Urticaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Urticaceae/Aboriella/
Abrahamia,Anacardiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Anacardiaceae/Abrahamia/
Abrodictyum,Hymenophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Hymenophyllaceae/Abrodictyum/
Abroma,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Abroma/
Abronia,Nyctaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Nyctaginaceae/Abronia/
Abrophyllum,Rousseaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rousseaceae/Abrophyllum/
Abrotanella,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Abrotanella/
Abrus,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Abrus/
Absinthium,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Absinthium/
Absolmsia,Apocynaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Absolmsia/
Abuta,Menispermaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Menispermaceae/Abuta/
Abutilon,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Abutilon/
Abutua,Gnetaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/G/Gnetaceae/Abutua/
Acacia,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acacia/
Acaciella,Fabaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acaciella/
Acaena,Rosaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rosaceae/Acaena/
Acalypha,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Acalypha/
Acampe,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acampe/
Acamptopappus,Asteraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asteraceae/Acamptopappus/
Acanthanthus,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Acanthanthus/
Acantharia,Fabaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acantharia/
